algorithm,execution_code,iteration,best_state_value,best_state_fitness
SimpleHillClimbing,7,1,"(3.396167, 2.053729)",51.64431025330986
SimpleHillClimbing,7,2,"(2.345883253016094, 2.402977505179222)",42.61076312804993
SimpleHillClimbing,7,3,"(-1.1818859025343538, -0.4140429742224696)",13.267727364145518
SimpleHillClimbing,7,4,"(-1.1818859025343538, -0.4140429742224696)",13.267727364145518
SimpleHillClimbing,7,5,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,6,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,7,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,8,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,9,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,10,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,11,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,12,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,13,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,14,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,15,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,16,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,17,"(-0.8162338919600683, 0.17474832699941945)",12.611754219165208
SimpleHillClimbing,7,18,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,19,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,20,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,21,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,22,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,23,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,24,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,25,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,26,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,27,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,28,"(-0.9194989476789489, 1.881263931253021)",6.888918677680996
SimpleHillClimbing,7,29,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,30,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,31,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,32,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,33,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,34,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,35,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,36,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,37,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,38,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,39,"(-1.9532777354258335, -1.2466242664059148)",6.224996551720508
SimpleHillClimbing,7,40,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,41,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,42,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,43,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,44,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,45,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,46,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,47,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,48,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,49,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,50,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,51,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,52,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,53,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,54,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,55,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,56,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,57,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,58,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,59,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,60,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,61,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,62,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,63,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,64,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,65,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,66,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,67,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,68,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,69,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,70,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
SimpleHillClimbing,7,71,"(-1.920980430190503, 0.14250339394887246)",6.125318131628617
