algorithm,execution_code,iteration,best_state_value,best_state_fitness
SimpleHillClimbing,4,1,"(-4.152518, -5.693362)",58.15952224710949
SimpleHillClimbing,4,2,"(-4.152518, -5.693362)",58.15952224710949
SimpleHillClimbing,4,3,"(-1.73383743844541, -4.454402189941454)",44.87544932551968
SimpleHillClimbing,4,4,"(-3.203050541943789, -4.498071551346604)",44.67753376586011
SimpleHillClimbing,4,5,"(-3.203050541943789, -4.498071551346604)",44.67753376586011
SimpleHillClimbing,4,6,"(-3.203050541943789, -4.498071551346604)",44.67753376586011
SimpleHillClimbing,4,7,"(-3.203050541943789, -4.498071551346604)",44.67753376586011
SimpleHillClimbing,4,8,"(-3.203050541943789, -4.498071551346604)",44.67753376586011
SimpleHillClimbing,4,9,"(-3.203050541943789, -4.498071551346604)",44.67753376586011
SimpleHillClimbing,4,10,"(-3.203050541943789, -4.498071551346604)",44.67753376586011
SimpleHillClimbing,4,11,"(-1.6316782988372536, -2.650303661115477)",43.22292694073309
SimpleHillClimbing,4,12,"(-0.2685265022630363, -3.026017472090522)",31.551742986590575
SimpleHillClimbing,4,13,"(-0.2685265022630363, -3.026017472090522)",31.551742986590575
SimpleHillClimbing,4,14,"(-0.2685265022630363, -3.026017472090522)",31.551742986590575
SimpleHillClimbing,4,15,"(1.9251871446603295, -3.079972144754446)",15.361779165722
SimpleHillClimbing,4,16,"(1.9251871446603295, -3.079972144754446)",15.361779165722
SimpleHillClimbing,4,17,"(1.9251871446603295, -3.079972144754446)",15.361779165722
SimpleHillClimbing,4,18,"(1.9251871446603295, -3.079972144754446)",15.361779165722
SimpleHillClimbing,4,19,"(1.9251871446603295, -3.079972144754446)",15.361779165722
SimpleHillClimbing,4,20,"(1.9251871446603295, -3.079972144754446)",15.361779165722
SimpleHillClimbing,4,21,"(1.9251871446603295, -3.079972144754446)",15.361779165722
SimpleHillClimbing,4,22,"(1.9251871446603295, -3.079972144754446)",15.361779165722
SimpleHillClimbing,4,23,"(1.9251871446603295, -3.079972144754446)",15.361779165722
SimpleHillClimbing,4,24,"(1.1060630978235917, -1.235139774836152)",7.028077507340892
SimpleHillClimbing,4,25,"(1.1060630978235917, -1.235139774836152)",7.028077507340892
SimpleHillClimbing,4,26,"(1.1060630978235917, -1.235139774836152)",7.028077507340892
SimpleHillClimbing,4,27,"(1.1060630978235917, -1.235139774836152)",7.028077507340892
SimpleHillClimbing,4,28,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,29,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,30,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,31,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,32,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,33,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,34,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,35,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,36,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,37,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,38,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,39,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,40,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,41,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,42,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,43,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,44,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,45,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,46,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,47,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,48,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,49,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,50,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,51,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,52,"(1.0832074592973313, 0.9321735944903344)",4.7138744533902255
SimpleHillClimbing,4,53,"(0.9800411132010909, -1.5893618348927658)",3.6436107352528833
SimpleHillClimbing,4,54,"(0.9800411132010909, -1.5893618348927658)",3.6436107352528833
SimpleHillClimbing,4,55,"(0.9800411132010909, -1.5893618348927658)",3.6436107352528833
SimpleHillClimbing,4,56,"(0.9800411132010909, -1.5893618348927658)",3.6436107352528833
SimpleHillClimbing,4,57,"(0.9800411132010909, -1.5893618348927658)",3.6436107352528833
SimpleHillClimbing,4,58,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,59,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,60,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,61,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,62,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,63,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,64,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,65,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,66,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,67,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,68,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,69,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,70,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,71,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,72,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,73,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,74,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,75,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,76,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,77,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,78,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,79,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,80,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,81,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,82,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,83,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,84,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,85,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,86,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
SimpleHillClimbing,4,87,"(1.0385149551652912, 0.8926103279650022)",2.4580376710627085
