algorithm,execution_code,iteration,best_state_value,best_state_fitness
SimpleHillClimbing,2,1,"(-2.548739, -2.712921)",52.92551105934975
SimpleHillClimbing,2,2,"(-3.80530744576228, -1.9727707869071303)",31.56109287673898
SimpleHillClimbing,2,3,"(-4.140892062016948, 0.5811273808457984)",24.822790502100236
SimpleHillClimbing,2,4,"(-4.140892062016948, 0.5811273808457984)",24.822790502100236
SimpleHillClimbing,2,5,"(-4.140892062016948, 0.5811273808457984)",24.822790502100236
SimpleHillClimbing,2,6,"(-4.065109088428077, 0.192802033909391)",18.2126406070975
SimpleHillClimbing,2,7,"(-4.065109088428077, 0.192802033909391)",18.2126406070975
SimpleHillClimbing,2,8,"(-4.065109088428077, 0.192802033909391)",18.2126406070975
SimpleHillClimbing,2,9,"(-2.951726048119066, -1.8921072354460644)",13.20571974135076
SimpleHillClimbing,2,10,"(-2.951726048119066, -1.8921072354460644)",13.20571974135076
SimpleHillClimbing,2,11,"(-2.951726048119066, -1.8921072354460644)",13.20571974135076
SimpleHillClimbing,2,12,"(-2.951726048119066, -1.8921072354460644)",13.20571974135076
SimpleHillClimbing,2,13,"(-2.951726048119066, -1.8921072354460644)",13.20571974135076
SimpleHillClimbing,2,14,"(-2.951726048119066, -1.8921072354460644)",13.20571974135076
SimpleHillClimbing,2,15,"(-2.951726048119066, -1.8921072354460644)",13.20571974135076
SimpleHillClimbing,2,16,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,17,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,18,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,19,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,20,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,21,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,22,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,23,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,24,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,25,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,26,"(-0.9191774861141004, 1.1098722824313454)",4.6005980866071745
SimpleHillClimbing,2,27,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,28,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,29,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,30,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,31,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,32,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,33,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,34,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,35,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,36,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,37,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,38,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,39,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,40,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,41,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,42,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,43,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,44,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,45,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,46,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,47,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,48,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,49,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,50,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,51,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,52,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,53,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,54,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,55,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,56,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,57,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,58,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,59,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,60,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,61,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
SimpleHillClimbing,2,62,"(0.06520478930016815, -0.9531702821177019)",2.567928364894346
