algorithm,execution_code,iteration,best_state_value,best_state_fitness
RestartHillClimbing,10,1,"(5.05521, 5.181399)",53.59338382345625
RestartHillClimbing,10,2,"(5.05521, 5.181399)",53.59338382345625
RestartHillClimbing,10,3,"(3.96066155630672, 4.46135260425973)",36.19833672170899
RestartHillClimbing,10,4,"(2.2201151629082627, 3.6699966379147178)",34.66437680955645
RestartHillClimbing,10,5,"(1.0348637742147437, -0.26619197170982645)",1.6197387934463787
RestartHillClimbing,10,6,"(1.0348637742147437, -0.26619197170982645)",1.6197387934463787
RestartHillClimbing,10,7,"(1.0348637742147437, -0.26619197170982645)",1.6197387934463787
RestartHillClimbing,10,8,"(1.0348637742147437, -0.26619197170982645)",1.6197387934463787
RestartHillClimbing,10,9,"(1.0348637742147437, -0.26619197170982645)",1.6197387934463787
RestartHillClimbing,10,10,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,11,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,12,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,13,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,14,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,15,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,16,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,17,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,18,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,19,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,20,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,21,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,22,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,23,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,24,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,25,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,26,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,27,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,28,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,29,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,30,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,31,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,32,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,33,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,34,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,35,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,36,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,37,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,38,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,39,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,40,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,41,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,42,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,43,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,44,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,45,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,46,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,47,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,48,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,49,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,50,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,51,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,52,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,53,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
RestartHillClimbing,10,54,"(0.023111459514004506, 1.1500650578845562)",1.5336833329513322
